'c22-sx6036-l1-1' , '1' , 'c' , '22' , '44' , '44' , 'Mellanox SX6036F' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'NetworkSwitch'
'c20-hp5930-l1-1' , '1' , 'c' , '20' , '44' , '44' , 'HP 5930 40G' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'NetworkSwitch'
'c18-sx6036f-l1-2' , '1' , 'c' , '18' , '44' , '44' , 'Melloanox 6036F' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'BlackBox'
'r5-pc-c2-optipatch-1' , '5' , 'a' , '02' , '43' , '44' , 'Optical Patch' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'PatchPanel'
'r5-pc-c1-optipatch-1' , '5' , 'a' , '01' , '43' , '44' , 'Optical Patch' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'PatchPanel'
'moc_e1_brocade_D6_r4_pa_c4' , '4' , 'a' , '04' , '43' , '43' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_C1_r4_pa_c2' , '4' , 'a' , '02' , '43' , '43' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'c24-sx6036-l2-1' , '1' , 'c' , '24' , '43' , '43' , 'Mellanox SX6036F' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'NetworkSwitch'
'c23-edge-sx6025' , '2' , 'c' , '23' , '43' , '43' , 'Mellanox SX6025' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'c21-edge-sx6025' , '2' , 'c' , '21' , '43' , '43' , 'Mellanox SX6025' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'c20-hp5930-l1-2' , '1' , 'c' , '20' , '43' , '43' , 'HP 5930 40G' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'NetworkSwitch'
'c17-edge-sx6025' , '2' , 'c' , '17' , '43' , '43' , 'Mellanox SX6025' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'c15-edge-sx6025' , '2' , 'c' , '15' , '43' , '43' , 'Mellanox SX6025' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'STUFF' , '5' , 'b' , '06' , '43' , '44' , 'STUFF' , '{ppool: "IS&T"},{pgroup: "IS&T"}' , 'BlackBox'
'r5-pc-c2-cupatch-1' , '5' , 'a' , '02' , '42' , '42' , 'Copper Patch' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'PatchPanel'
'r5-pc-c1-cupatch-1' , '5' , 'a' , '01' , '42' , '42' , 'Copper Patch' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'PatchPanel'
'r2-pc-c23-sw' , '2' , 'c' , '23' , '42' , '42' , 'Dell PC5548' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'r2-pc-c21-sw2' , '2' , 'c' , '21' , '42' , '42' , 'Dell PC5548' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'r2-pc-c17-sw2' , '2' , 'c' , '17' , '42' , '42' , 'Dell PC5548' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'r2-pc-c15-sw2' , '2' , 'c' , '15' , '42' , '42' , 'Dell PC5548' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'moc_e1_brocade_B1_r4_pa_c2' , '4' , 'a' , '02' , '42' , '42' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'c24-hp2920-48g-2' , '1' , 'c' , '24' , '42' , '42' , 'HP 2920 Switch' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'NetworkSwitch'
'c20-hp5900AF-1' , '1' , 'c' , '20' , '42' , '42' , 'HP 5900AF 10G' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'NetworkSwitch'
'switch-C21' , '2' , 'c' , '21' , '41' , '41' , 'Dell PC5548' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'switch-C17' , '2' , 'c' , '17' , '41' , '41' , 'Dell PC5548' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'switch-C15' , '2' , 'c' , '15' , '41' , '41' , 'Dell PC5548' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'NetworkSwitch'
'r5-pc-c2-carm-1' , '5' , 'a' , '02' , '41' , '41' , 'Cable Management Arm' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'CableOrganizer'
'r5-pc-c1-carm-1' , '5' , 'a' , '01' , '41' , '41' , 'Cable Management Arm' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'CableOrganizer'
'r21-edge-sx6025-2' , '5' , 'a' , '21' , '41' , '41' , 'Mellanox SX6025' , '{ppool: "engaging1"},{pgroup: "cnh RC2"}' , 'NetworkSwitch'
'r19-edge-sx6025-2' , '5' , 'a' , '19' , '41' , '41' , 'Mellanox SX6025' , '{ppool: "engaging1"},{pgroup: "cnh RC2"}' , 'NetworkSwitch'
'moc_e1_brocade_D5_r5_pa_c2' , '5' , 'a' , '02' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_D4_r5_pa_c4' , '5' , 'a' , '04' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_D3_r5_pa_c6' , '5' , 'a' , '06' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_D2_r5_pa_c8' , '5' , 'a' , '08' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_D1_r5_pa_c10' , '5' , 'a' , '10' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_C5_r5_pa_c14' , '5' , 'a' , '14' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_C4_r5_pa_c16' , '5' , 'a' , '16' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_C3_r5_pa_c15' , '5' , 'a' , '15' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_C2_r5_pa_c13' , '5' , 'a' , '13' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_B5_r5_pa_c19' , '5' , 'a' , '19' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_B4_r5_pa_c23' , '5' , 'a' , '23' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_B3_r5_pa_c21' , '5' , 'a' , '21' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_B2_r5_pa_c17' , '5' , 'a' , '17' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_A6_r5_pa_c5' , '5' , 'a' , '05' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_A5_r5_pa_c9' , '5' , 'a' , '09' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_A4_r5_pa_c11' , '5' , 'a' , '11' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_A3_r5_pa_c7' , '5' , 'a' , '07' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_A2_r5_pa_c3' , '5' , 'a' , '03' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'moc_e1_brocade_A1_r4_pa_c2' , '4' , 'a' , '02' , '41' , '41' , 'Brocade VDX6740' , '{ppool: "engaging1_moc"},{pgroup: "MOC BU"}' , 'NetworkSwitch'
'iml-001' , '2' , 'c' , '23' , '41' , '41' , 'Dell R320' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-I"}' , 'Server'
'c24-hp2920-48g-1' , '1' , 'c' , '24' , '41' , '41' , 'HP 2920 Switch' , '{ppool: "c3ddb"},{pgroup: "cnh MLSC-II"}' , 'NetworkSwitch'
'r5-pc-c14-mlnx-2' , '5' , 'c' , '14' , '40' , '40' , 'Mellanox SX6036' , '{ppool: "engaging1"},{pgroup: "cnh RC2"}' , 'NetworkSwitch'
'r5-pc-c13-fex-1' , '5' , 'c' , '13' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c9-fex--1' , '5' , 'a' , '09' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c8-fex--1' , '5' , 'a' , '08' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c6-fex--1' , '5' , 'a' , '06' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c4-fex--1' , '5' , 'a' , '04' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c3-fex--1' , '5' , 'a' , '03' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c24-fex--1' , '5' , 'a' , '24' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c23-fex--1' , '5' , 'a' , '23' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c22-fex--1' , '5' , 'a' , '22' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c21-fex--1' , '5' , 'a' , '21' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c20-fex--1' , '5' , 'a' , '20' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c2-fex--1' , '5' , 'a' , '02' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c19-fex--1' , '5' , 'a' , '19' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c18-fex--1' , '5' , 'a' , '18' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c17-fex--1' , '5' , 'a' , '17' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c16-fex--1' , '5' , 'a' , '16' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c15-fex--1' , '5' , 'a' , '15' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c14-fex--1' , '5' , 'a' , '14' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c13-fex--1' , '5' , 'a' , '13' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c10-fex--1' , '5' , 'a' , '10' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
'r5-pa-c1-fex--1' , '5' , 'a' , '01' , '40' , '40' , 'Cisco Fex' , '{ppool: "mit_ist"},{pgroup: "MIT IST"}' , 'NetworkSwitch'
