'r5-pc-c14-mlnx-2' , '5' , 'c' , '14' , '40' , '40' , 'Mellanox SX6036' , '{ppool: "engaging1"},{pgroup: "cnh RC2"}' , 'NetworkSwitch'
'r5-pc-c14-mlnx-1' , '5' , 'c' , '14' , '39' , '39' , 'Mellanox SX6036' , '{ppool: "engaging1"},{pgroup: "cnh RC2"}' , 'NetworkSwitch'
'r5-pc-c14-sw2' , '5' , 'c' , '14' , '38' , '38' , 'Dell N3048' , '{ppool: "engaging1"},{pgroup: "cnh RC2"}' , 'NetworkSwitch'
'r5-pc-c14-sw1' , '5' , 'c' , '14' , '37' , '37' , 'Dell N3048' , '{ppool: "engaging1"},{pgroup: "cnh RC2"}' , 'NetworkSwitch'
'node395' , '5' , 'c' , '14' , '36' , '36' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node394' , '5' , 'c' , '14' , '35' , '35' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node393' , '5' , 'c' , '14' , '34' , '34' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node392' , '5' , 'c' , '14' , '33' , '33' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node391' , '5' , 'c' , '14' , '32' , '32' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node390' , '5' , 'c' , '14' , '31' , '31' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node389' , '5' , 'c' , '14' , '30' , '30' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node388' , '5' , 'c' , '14' , '29' , '29' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node387' , '5' , 'c' , '14' , '28' , '28' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node386' , '5' , 'c' , '14' , '27' , '27' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node385' , '5' , 'c' , '14' , '26' , '26' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node384' , '5' , 'c' , '14' , '25' , '25' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node383' , '5' , 'c' , '14' , '24' , '24' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node382' , '5' , 'c' , '14' , '23' , '23' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node381' , '5' , 'c' , '14' , '22' , '22' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node380' , '5' , 'c' , '14' , '21' , '21' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node379' , '5' , 'c' , '14' , '20' , '20' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node378' , '5' , 'c' , '14' , '19' , '19' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node377' , '5' , 'c' , '14' , '18' , '18' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node376' , '5' , 'c' , '14' , '17' , '17' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node375' , '5' , 'c' , '14' , '16' , '16' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node374' , '5' , 'c' , '14' , '15' , '15' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node373' , '5' , 'c' , '14' , '14' , '14' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node372' , '5' , 'c' , '14' , '13' , '13' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node371' , '5' , 'c' , '14' , '12' , '12' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node370' , '5' , 'c' , '14' , '11' , '11' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node369' , '5' , 'c' , '14' , '10' , '10' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node368' , '5' , 'c' , '14' , '09' , '09' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node367' , '5' , 'c' , '14' , '08' , '08' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node366' , '5' , 'c' , '14' , '07' , '07' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node365' , '5' , 'c' , '14' , '06' , '06' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node364' , '5' , 'c' , '14' , '05' , '05' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node363' , '5' , 'c' , '14' , '04' , '04' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node362' , '5' , 'c' , '14' , '03' , '03' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node361' , '5' , 'c' , '14' , '02' , '02' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
'node360' , '5' , 'c' , '14' , '01' , '01' , 'Lenovo x3550' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}' , 'Server'
