  'device name' , 'row' , 'pod' , 'cabinet' , 'bottom U' , 'top U' , 'device type'
  'node001' , '5' , 'a' , '04' , '01' , '02' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node002' , '5' , 'a' , '04' , '03' , '04' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node003' , '5' , 'a' , '04' , '05' , '06' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node004' , '5' , 'a' , '04' , '07' , '08' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node005' , '5' , 'a' , '04' , '09' , '10' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node006' , '5' , 'a' , '04' , '11' , '12' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node007' , '5' , 'a' , '04' , '13' , '14' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node008' , '5' , 'a' , '04' , '15' , '16' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node009' , '5' , 'a' , '04' , '17' , '18' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node010' , '5' , 'a' , '04' , '19' , '20' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node011' , '5' , 'a' , '04' , '21' , '22' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node012' , '5' , 'a' , '04' , '23' , '24' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node013' , '5' , 'a' , '04' , '25' , '26' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node014' , '5' , 'a' , '04' , '27' , '28' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node015' , '5' , 'a' , '04' , '29' , '30' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node016' , '5' , 'a' , '04' , '31' , '32' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node017' , '5' , 'a' , '04' , '33' , '34' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node018' , '5' , 'a' , '04' , '35' , '36' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
  'node019' , '5' , 'a' , '05' , '01' , '02' , 'Dell R720' , '{ppool: "engaging1"},{pgroup: "cnh NSF"}'
